date,price
2014-07-20 00:00:00 UTC,620.5138
2014-07-21 00:00:00 UTC,619.9088
2014-07-22 00:00:00 UTC,619.0063
2014-07-23 00:00:00 UTC,617.9425
2014-07-24 00:00:00 UTC,599.8088
2014-07-25 00:00:00 UTC,600.0963
2014-07-26 00:00:00 UTC,593.775
2014-07-27 00:00:00 UTC,590.3788
2014-07-28 00:00:00 UTC,585.2788
2014-07-29 00:00:00 UTC,581.7138
2014-07-30 00:00:00 UTC,560.7913
2014-07-31 00:00:00 UTC,583.1821057
2014-08-01 00:00:00 UTC,593.8655274
2014-08-02 00:00:00 UTC,588.2306992
2014-08-03 00:00:00 UTC,585.5731941
2014-08-04 00:00:00 UTC,586.3686859
2014-08-05 00:00:00 UTC,582.4186268
2014-08-06 00:00:00 UTC,583.325
2014-08-07 00:00:00 UTC,587.203159
2014-08-08 00:00:00 UTC,590.9072702
2014-08-09 00:00:00 UTC,588.107856
2014-08-10 00:00:00 UTC,588.5004826
2014-08-11 00:00:00 UTC,573.4063
2014-08-12 00:00:00 UTC,567.4023482
2014-08-13 00:00:00 UTC,543.6675
2014-08-14 00:00:00 UTC,503.7088
2014-08-15 00:00:00 UTC,492.2844983
2014-08-16 00:00:00 UTC,521.0463
2014-08-17 00:00:00 UTC,494.7813
2014-08-18 00:00:00 UTC,459.8863
2014-08-19 00:00:00 UTC,484.155
2014-08-20 00:00:00 UTC,514.1863
2014-08-21 00:00:00 UTC,515.605
2014-08-22 00:00:00 UTC,515.8263
2014-08-23 00:00:00 UTC,496.5688
2014-08-24 00:00:00 UTC,508.1138
2014-08-25 00:00:00 UTC,500.3863
2014-08-26 00:00:00 UTC,510.6388
2014-08-27 00:00:00 UTC,510.4463
2014-08-28 00:00:00 UTC,506.915
2014-08-29 00:00:00 UTC,508.0963
2014-08-30 00:00:00 UTC,501.53
2014-08-31 00:00:00 UTC,480.0263
2014-09-01 00:00:00 UTC,475.82
2014-09-02 00:00:00 UTC,474.6938
2014-09-03 00:00:00 UTC,474.7263
2014-09-04 00:00:00 UTC,489.5475
2014-09-05 00:00:00 UTC,480.2425
2014-09-06 00:00:00 UTC,482.3588
2014-09-07 00:00:00 UTC,480.6025
2014-09-08 00:00:00 UTC,471.125
2014-09-09 00:00:00 UTC,471.7538
2014-09-10 00:00:00 UTC,477.1138
2014-09-11 00:00:00 UTC,476.3775
2014-09-12 00:00:00 UTC,473.6875
2014-09-13 00:00:00 UTC,476.0013
2014-09-14 00:00:00 UTC,474.795
2014-09-15 00:00:00 UTC,473.0313
2014-09-16 00:00:00 UTC,462.5925
2014-09-17 00:00:00 UTC,454.6238
2014-09-18 00:00:00 UTC,423.565
2014-09-19 00:00:00 UTC,393.2625
2014-09-20 00:00:00 UTC,408.5025
2014-09-21 00:00:00 UTC,396.62
2014-09-22 00:00:00 UTC,398.3113
2014-09-23 00:00:00 UTC,433.7513
2014-09-24 00:00:00 UTC,420.92
2014-09-25 00:00:00 UTC,407.9775
2014-09-26 00:00:00 UTC,402.88
2014-09-27 00:00:00 UTC,398.0075
2014-09-28 00:00:00 UTC,375.9888
2014-09-29 00:00:00 UTC,373.0888
2014-09-30 00:00:00 UTC,387.3513
2014-10-01 00:00:00 UTC,380.895
2014-10-02 00:00:00 UTC,371.8413
2014-10-03 00:00:00 UTC,356.19
2014-10-04 00:00:00 UTC,327.8813
2014-10-05 00:00:00 UTC,325.11
2014-10-06 00:00:00 UTC,328.73
2014-10-07 00:00:00 UTC,331.7238
2014-10-08 00:00:00 UTC,353.3901
2014-10-09 00:00:00 UTC,358.395
2014-10-10 00:00:00 UTC,357.555
2014-10-11 00:00:00 UTC,359.515
2014-10-12 00:00:00 UTC,374.1675
2014-10-13 00:00:00 UTC,387.0388
2014-10-14 00:00:00 UTC,398.2888
2014-10-15 00:00:00 UTC,392.19
2014-10-16 00:00:00 UTC,379.3913
2014-10-17 00:00:00 UTC,380.2925
2014-10-18 00:00:00 UTC,389.1163
2014-10-19 00:00:00 UTC,386.945
2014-10-20 00:00:00 UTC,379.77
2014-10-21 00:00:00 UTC,382.4138
2014-10-22 00:00:00 UTC,379.4425
2014-10-23 00:00:00 UTC,356.2
2014-10-24 00:00:00 UTC,354.3175
2014-10-25 00:00:00 UTC,347.0304941
2014-10-26 00:00:00 UTC,350.1888
2014-10-27 00:00:00 UTC,348.29
2014-10-28 00:00:00 UTC,351.5638
2014-10-29 00:00:00 UTC,333.1475
2014-10-30 00:00:00 UTC,343.6675
2014-10-31 00:00:00 UTC,336.5879758
2014-11-01 00:00:00 UTC,323.9763
2014-11-02 00:00:00 UTC,323.985
2014-11-03 00:00:00 UTC,323.995
2014-11-04 00:00:00 UTC,328.0083
2014-11-05 00:00:00 UTC,337.5933
2014-11-06 00:00:00 UTC,347.8183
2014-11-07 00:00:00 UTC,341.2317
2014-11-08 00:00:00 UTC,344.1783
2014-11-09 00:00:00 UTC,363.4241291
2014-11-10 00:00:00 UTC,363.765
2014-11-11 00:00:00 UTC,366.15
2014-11-12 00:00:00 UTC,418.5783
2014-11-13 00:00:00 UTC,414.7083
2014-11-14 00:00:00 UTC,395.245
2014-11-15 00:00:00 UTC,377.3267
2014-11-16 00:00:00 UTC,387.6233
2014-11-17 00:00:00 UTC,384.9
2014-11-18 00:00:00 UTC,374.8683
2014-11-19 00:00:00 UTC,376.7883
2014-11-20 00:00:00 UTC,355.3888346
2014-11-21 00:00:00 UTC,349.3882854
2014-11-22 00:00:00 UTC,351.55
2014-11-23 00:00:00 UTC,366.7817
2014-11-24 00:00:00 UTC,377.7417
2014-11-25 00:00:00 UTC,375.248
2014-11-26 00:00:00 UTC,365.766
2014-11-27 00:00:00 UTC,368.448
2014-11-28 00:00:00 UTC,376.951
2014-11-29 00:00:00 UTC,374.965
2014-11-30 00:00:00 UTC,376.472
2014-12-01 00:00:00 UTC,379.489
2014-12-02 00:00:00 UTC,381.3768
2014-12-03 00:00:00 UTC,374.103
2014-12-04 00:00:00 UTC,368.2282
2014-12-05 00:00:00 UTC,376.379
2014-12-06 00:00:00 UTC,373.671
2014-12-07 00:00:00 UTC,374.448
2014-12-08 00:00:00 UTC,361.433
2014-12-09 00:00:00 UTC,350.928
2014-12-10 00:00:00 UTC,346.9798718
2014-12-11 00:00:00 UTC,346.909
2014-12-12 00:00:00 UTC,351.502
2014-12-13 00:00:00 UTC,347.484
2014-12-14 00:00:00 UTC,350.133
2014-12-15 00:00:00 UTC,344.615
2014-12-16 00:00:00 UTC,328.534
2014-12-17 00:00:00 UTC,318.828
2014-12-18 00:00:00 UTC,309.765
2014-12-19 00:00:00 UTC,317.54
2014-12-20 00:00:00 UTC,328.774
2014-12-21 00:00:00 UTC,319.501
2014-12-22 00:00:00 UTC,329.886
2014-12-23 00:00:00 UTC,333.97
2014-12-24 00:00:00 UTC,322.194
2014-12-25 00:00:00 UTC,318.166
2014-12-26 00:00:00 UTC,327.7169709
2014-12-27 00:00:00 UTC,314.568
2014-12-28 00:00:00 UTC,316.491
2014-12-29 00:00:00 UTC,312.633
2014-12-30 00:00:00 UTC,310.079
2014-12-31 00:00:00 UTC,317.379
2015-01-01 00:00:00 UTC,313.992
2015-01-02 00:00:00 UTC,314.446
2015-01-03 00:00:00 UTC,286.572
2015-01-04 00:00:00 UTC,260.936
2015-01-05 00:00:00 UTC,273.22
2015-01-06 00:00:00 UTC,285.3738
2015-01-07 00:00:00 UTC,295.8725
2015-01-08 00:00:00 UTC,284.4525
2015-01-09 00:00:00 UTC,289.5738
2015-01-10 00:00:00 UTC,274.533
2015-01-11 00:00:00 UTC,267.184
2015-01-12 00:00:00 UTC,268.3536677
2015-01-13 00:00:00 UTC,221.436
2015-01-14 00:00:00 UTC,172.1479
2015-01-15 00:00:00 UTC,210.5559
2015-01-16 00:00:00 UTC,205.816
2015-01-17 00:00:00 UTC,199.4914
2015-01-18 00:00:00 UTC,208.9892
2015-01-19 00:00:00 UTC,214.545
2015-01-20 00:00:00 UTC,210.5137
2015-01-21 00:00:00 UTC,224.0451
2015-01-22 00:00:00 UTC,232.0423
2015-01-23 00:00:00 UTC,232.898
2015-01-24 00:00:00 UTC,248.096
2015-01-25 00:00:00 UTC,253.8389
2015-01-26 00:00:00 UTC,271.2882
2015-01-27 00:00:00 UTC,259.2356
2015-01-29 00:00:00 UTC,232.5329422
2015-01-30 00:00:00 UTC,228.6354
2015-01-31 00:00:00 UTC,218.0233
2015-02-01 00:00:00 UTC,226.2697
2015-02-02 00:00:00 UTC,240.0193
2015-02-03 00:00:00 UTC,226.0119
2015-02-04 00:00:00 UTC,225.3083
2015-02-05 00:00:00 UTC,216.9136
2015-02-06 00:00:00 UTC,222.4872
2015-02-07 00:00:00 UTC,227.2051
2015-02-08 00:00:00 UTC,222.9061
2015-02-09 00:00:00 UTC,220.0922
2015-02-10 00:00:00 UTC,220.6493
2015-02-11 00:00:00 UTC,219.0956
2015-02-12 00:00:00 UTC,222.0401588
2015-02-13 00:00:00 UTC,235.6774
